id,verdict,tag,conf,reason
77211 fc32b44b-5288-48c5-b66d-a8342838b907,OK,scope,0.9,Questions address different types of chicken.
382066 460899e7-a67f-41db-b204-e2d77f8efb78,OK,unrelated,1.0,Questions are about entirely different topics.
65977 641bc8de-b905-4ae4-a0ee-abea15fbc88e,OK,scope,0.9,Questions address different aspects of passive income.
237122 b3549639-8557-4848-9ea7-c48b27dcdb39,B,scope,0.7,Biological aspect adds specificity to the first question.
244653 f4b9daac-cdf7-4a0a-bfa2-053cbc897eaf,B,scope,0.7,"Different phrasing, but both seek methods for peace of mind."
368297 4198fb98-259f-4e4c-8d45-ef2347920fad,OK,identical,1.0,Both questions ask for the definition of addiction.
382296 828ef916-678f-43e3-8916-e08d0fdaeed0,OK,scope,0.9,Different educational backgrounds and paths to join the army.
198670 4d73c0ee-af51-47cb-ac46-63ae68714fd1,OK,scope,0.9,"One is specific, the other is general."
105747 45f73b82-e328-4280-a8f7-1f1871a224e0,OK,unrelated,1.0,Questions are about different topics entirely.
176826 a9b4a342-5a5c-4f99-a104-9d1c4f26e0ab,OK,unrelated,1.0,Questions address different aspects of Twitter functionality.
145364 daa94242-ffcd-45f1-90ea-cb7fa9405783,OK,unrelated,1.0,Different words with distinct meanings in Indonesian.
309525 0d95b42d-c100-47c3-bf64-43a12b60babb,B,scope,0.7,Different focuses on age and ease of making money.
8899 26e6aa68-7d4e-408b-9df8-c8f887b32c50,OK,unrelated,1.0,Questions are about entirely different topics.
394539 adbe3715-546d-4a07-8149-0f7da4dd4e15,OK,unrelated,1.0,Questions address different topics about Uber.
276714 4004c030-d018-4e7b-a739-5001ad8165e3,OK,scope,0.9,Both questions ask about adding photos on Quora.
202487 d1a76779-a446-4eda-8cd1-779b3f6f967a,OK,unrelated,1.0,Questions address different mathematical concepts.
25443 d6c665f6-a519-43d5-9c88-cc3b4c4d7e26,OK,unrelated,0.9,Questions address different behaviors on Quora.
376549 b5902792-81ca-4194-aaa6-6a9feaf931da,B,scope,0.7,"One asks about usage, the other about usefulness."
308397 ea724735-c23a-44a5-9edc-a2916c81db48,OK,entity,0.9,Different entities are being compared in both questions.
346292 f6fcebad-9ce4-4657-bd6a-94e49f44725c,OK,scope,0.9,Different focuses on pictures vs. fan fiction.
100497 f7bb98b6-06f7-4d10-865a-6c4a01470948,OK,entity,0.9,Different universities imply different contexts for class selection.
62002 fde68963-f10c-4ea9-982c-36d15eadd35b,OK,unrelated,1.0,Questions are about entirely different topics.
116431 258b88b1-e68c-49ee-b7b1-d0a0b87efc60,B,scope,0.7,"One asks about creation, the other about possibility."
90580 98f8aa06-815d-4121-8f35-ce69ae4f0877,OK,entity,0.9,"Different rivers are compared, maintaining the same structure."
370206 521f8313-070c-4a48-b70b-c8b5f42eeda2,A,unrelated,1.0,Questions are about different foods for hamsters.
251569 fb659d5c-fb28-490d-b420-b3b0889fb323,OK,unrelated,0.9,Questions address different aspects of dreaming.
319137 0b44e1b1-a1da-4edb-bc89-021e66554558,OK,unrelated,0.9,Questions address different issues regarding power steering fluid.
142925 14e82952-df38-486b-aabf-fb97840d98e6,OK,scope,0.9,Both questions ask about study material for the same exam.
143569 63f1daa2-2bf9-4bc5-889f-cc964d47399d,OK,scope,0.9,Second question specifies computational difficulty.
192610 f5ffe1e1-1895-470c-a53a-1b0596592d8f,B,scope,0.7,Different focus on systems vs. cycle usage.
349737 41dc21b2-4eff-4177-be8f-8cd3df8a1a2a,OK,scope,0.9,Morphology biology is a specific aspect of morphology.
102651 b25cf6ed-cb8f-4d77-ae22-f59ec149517d,OK,identical,1.0,Both questions ask about the same experience.
246168 e739bb19-17aa-4c34-9c89-f608255837ba,B,scope,0.7,"Different focus: one lists, the other seeks advice."
378 c5105fa0-8830-46ec-a114-17bff2179b40,OK,scope,0.9,"Different focus: one is general, the other specific."
281139 bcb31d03-6c33-4a1a-b4fe-817c4cb88bd0,OK,scope,0.9,Different conditions affect thinking processes.
16800 f60487ed-06b3-4e29-a86e-4958802d7ca9,OK,unrelated,1.0,Questions address completely different topics.
143464 d2d2ffc2-f1ee-4db9-8b97-4e6765d1e28c,OK,unrelated,1.0,Questions address different topics about Lake Tahoe.
37264 7cebd65d-88b7-43c7-8f9d-8e5ed25c9f6e,B,scope,0.7,Different focus: definition vs. usage.
235285 a5eae436-4d49-4c67-a91d-21d2a5d72dd1,OK,scope,0.9,Different subjects but similar structure and intent.
170002 88d88abb-96dd-4da2-8b7d-fcb120305b8f,B,scope,0.7,Different focus on general advice vs. future-proofing.
