id,gold,pred,conf,stratum,sentence1,sentence2,verdict,tag
192799 ff298a06-129b-455d-ad19-1235c8b8d9ec,1,0,0.9939,S4_low,what is a personality ?,what is my personality ?,A,
108694 a95152b9-7448-440b-bb0c-a4200b4f8634,1,0,0.9704,S2_high,does it help to go to a-star education center to learn competitive programming ?,is a* a good place to go to improve my skill in competitive programming ?,C,lexical_gap
210876 29ad0120-2fb5-42b5-becc-bd9e3b5c0e83,0,1,0.8984,S1_persist,what do you mean by development ?,what is the meaning of developing ?,C,lexical_gap
172263 411d6adc-5f3b-472a-a289-6b24c38bbec9,0,1,1,S1_persist,what are the things i can do to become more responsible ?,what are some ways to become more responsible ?,A,
403330 ed5420e1-8a45-4442-99bd-7ca28663f060,1,0,0.8615,S4_low,could we build an educational system without teachers ?,what would an educational system without teachers and lecturers look like ?,B,
281009 26f37d9b-7cce-4b01-9ba5-423a5abf8411,0,1,0.9995,S1_persist,why indian men are not so romantic ?,why indian men are least romantic ?,B,
309947 cba7fd9b-3352-4d48-a171-cc628c8b758d,1,0,0.9994,S4_low,what do you think of bob dylan being awarded the nobel prize in literature 2016 ?,"did the nobel prize committee make a mockery of american literature by awarding this year 's prize in literature to a songwriter , bob dylan ?",A,
108839 67826d9c-9ce0-4c45-87e1-b6ad275b8eb9,1,0,0.997,S2_high,where can i get a free minecraft server 1 .10 .2 forever ?,"are there any options for free minecraft server hosting ? if so , what are they ?",A,
90723 98dfc3f8-ec94-41a3-851f-805053131662,0,1,0.9999,S1_persist,what are the best way to improve your general knowledge ?,what are the ways to improve your general knowledge ?,A,
174083 0853f406-db94-47cc-8f28-674e70593b7d,1,0,1,S1_persist,why does my labrador/pug mix has separation anxiety when i leave my house ?,why does my dog cry when i leave the house ?,A,
373101 b46bcb2f-fa4a-4fc6-b891-bebf1956fbd9,0,1,0.825,S3_mid,how were the persian wars started ?,how did the greco-persian wars start ?,A,
120023 79019312-bf0d-4d28-82bd-48f5e2a4d46c,1,0,0.8589,S4_low,is donald trump going to do what he promised to do ?,what promises can donald trump keep ?,A,
12858 8b3effce-b076-4e84-af6e-573c4db14b6a,0,1,0.9986,S1_persist,which life lesson did you learn too late in your life ?,what are the lessons people most often learn too late in life ?,B,
341025 30876b25-ac86-45db-8b23-ef4f1c2db1d7,0,1,0.8268,S4_low,do weighing scales measure mass or weight ?,"does weighing machine measure weight or mass ? for example , i am 55 kg . is it my weight or mass ?",B,
61344 d3409630-8ef7-470b-9a13-8b28d34f633e,0,1,0.9827,S2_high,is palmistry accurate ?,how accurate is palmistry ?,A,
308356 63d83232-e06a-44cd-8bd6-cdd38f494901,0,1,0.9615,S2_high,how do we know that no two people have the same fingerprints ?,can two people have the same fingerprints ?,B,
214476 a1369f0d-edf0-4b3e-9bab-8b33219453d6,0,1,0.9993,S1_persist,how can i earn money online easily ?,what is the best way to earn money online ?,C,scope
256321 f157eb3d-b98f-40ba-92ba-b1b843504a9d,0,1,0.9999,S1_persist,how do some engineering students understand the concepts quicker ?,how do some students understand new concepts so quickly ?,C,scope
107760 953f6d29-eb56-42e7-9295-56567b3d0adb,1,0,0.7973,S4_low,can someone hack my snapchat and post pictures ?,can someone hack my snapchat password ?,A,
182946 207d1208-518b-452c-b706-caec59729f02,1,0,0.9972,S3_mid,"my period is 5 days late , what do i do ?","if your period is 10 days late , are you pregnant ?",A,
122628 03b8d051-fc68-48d3-98a6-b424d69c5e9b,1,0,0.8342,S2_high,what is a microcontroller and what are its applications ?,what are the applications of microcontroller in electrical engineering ?,B,
58047 3e03a136-c93f-440e-b1db-040aa5254b75,1,0,0.9991,S3_mid,is hinduism zero without caste system ?,what is hinduism without a caste system ?,C,entity
109469 2205ad10-303f-4359-916f-4d138263ece3,0,1,0.9934,S2_high,what do you do when you forgot your icloud password on iphone ?,how do i recover my icloud password ?,A,
319557 8f65fa86-83d1-4beb-b10f-b331f758192e,1,0,0.7149,S3_mid,what is the future growth in android development ?,what is the future for android developers ?,A,
254244 c468108f-3124-43dc-90fc-0ff2dcad3420,1,0,0.9741,S2_high,what innovative name can i use for an interior designing firm ?,what can i name my interior designing firm ?,A,
359712 2449f301-f46b-40a5-afc8-5635f31e8d20,0,1,0.9496,S2_high,which is best movie ?,what is the best movie you have ever seen ?,B,
122170 e7d834b3-99ff-4b05-ae09-1c8e3c3099ec,0,1,0.6234,S3_mid,how much would it cost to develop an app similar to instagram ?,how much does it cost to build an iphone app just like instagram ?,B,
353786 9af5e1df-46b0-465c-8348-eef08e1e1a35,1,0,0.7043,S4_low,how does the demonetisation of 500 and 1000 inr notes impact the dollar to inr rate ?,will the value of rupee increase after the 500 and 1000 rupees notes are banned ?,A,
261442 381ee118-d748-4cd6-b323-eacb8f6c4704,1,0,0.9756,S3_mid,what is 3d data visualization ?,what are the best examples of 3d data visualization ?,A,
300617 b51c1170-a360-4f8b-83a9-c895375e963a,0,1,0.9999,S1_persist,where can i buy bitcoins ?,from where i can buy bitcoin ?,A,
